identifier,crs
HTDP63360K030L13_1906,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L13_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L14_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030L15_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1906,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1920,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M03_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M04_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M05_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1918,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1931_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1949_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M11_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1918,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1942_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M12_1942_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M13_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1936_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1943,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1943_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M14_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M15_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M16_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030M16_1938_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N14_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N14_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K030N15_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1907,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B05_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B12_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B13_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B13_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B13_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B13_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B14_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B14_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B14_1924,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B14_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031B14_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C01_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C01_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C01_1926,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C01_1940_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C01-C02-C07-C08_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C02_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C02_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C02_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C02_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C03_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C03_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C04_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C04_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C04_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C04_1938_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C04_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C05_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C05_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C06_1933_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C06_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C07_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C07_1923,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C07_1933_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C08_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C08_1922,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C08_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C08_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C08_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C09_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C09_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C09_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C09_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C09_1949_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C10_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C10_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C11_1947,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C12_1947,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C13_1947,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C14_1947,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C15_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C16_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031C16_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D01_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D01_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D01_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D01_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D01_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D02_1930,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D02_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D02_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D03_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D03_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D03_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D03_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D04_1949,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1940_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1943,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D05_1950_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D06_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D06_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D06_1939_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D06_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D07_1931,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D07_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D07_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D08_1932,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D08_1933,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D08_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D08_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D10_1916,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D11_1914W,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D11_1916E,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D12_1950_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031D12_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F01_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F01_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F01_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F01_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F02_1948_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F03_1948,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F04_1948_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F05_1948_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F06_1948,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F07_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F07_1938,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F07_1940,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F07_1950,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1934,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1939,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1941,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1943_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F08_1943,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F11_1937,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F12_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F12_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F13_1942,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F13_1951_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F13_1951,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1919,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1927,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1936,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1939_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031F14_1944_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1925,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1935,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1944_MB,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G01_1944_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1909,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1917,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1921,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1928,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G02_1937_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1915,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1929,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G03_1933_UTM,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1908,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
HTDP63360K031G04_1914,EPSG:4267 (http://spatialreference.org/ref/epsg/4267/)
